"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10309","Successful login","","Mon Mar 17 12:57:05 PST 2025","passed","Mon Mar 17 12:57:16 PST 2025","","","",""
"","5492","Invalid login","","Mon Mar 17 12:57:16 PST 2025","failed","Mon Mar 17 12:57:21 PST 2025","","","",""
